"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca","height","width","length","category_product_categories",
"93667","1","37","1","","0","01-00451","01-00451","open","1","n","0","0","0","0","n","n","1579570635","2020","01","20","0","0","1675007839","","0","CEQ56A ^AIR/OIL SEPARATOR","70.75","AS","","0","0","0","1","5","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93668","1","37","1","","0","01-0046","01-0046","open","1","n","0","0","0","0","n","n","1579570639","2020","01","20","0","0","1674994626","","0","use KL750-044 2117916 ^CARTRIDGE, OIL","21","OI","","173","0","0","0","2","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93669","1","37","1","","0","01-0047","01-0047","open","1","n","0","0","0","0","n","n","1579570646","2020","01","20","0","0","1675047404","","0","use KL600-026 1614-8747-00 ^CARTRIDGE, OIL","9.5","OI","","421","0","0","0","1.25","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93670","1","37","1","","0","01-00471","01-00471","open","1","n","0","0","0","0","n","n","1579570650","2020","01","20","0","0","1674998724","","0","CEGD46 ^AIR/OIL SEPARATOR","79","AS","","1","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93671","1","37","1","","0","01-0048","01-0048","closed","2","n","0","0","0","0","n","n","1579570654","2020","01","20","0","0","1674989680","","0","2118342 ELEMENT, OIL use kl230-021","81","OI","","42","0","0","0","1","0","0","0","20","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93672","1","37","1","","0","01-00481","01-00481","closed","2","n","0","0","0","0","n","n","1579570658","2020","01","20","0","0","1675038379","","0","CEW1021 ^AIR/OIL SEPARATOR use kv480-001","203.25","AS","","0","0","0","0","30","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93673","1","37","1","","0","01-0049","01-0049","open","1","n","0","0","0","0","n","n","1579570663","2020","01","20","0","0","1675054381","","0","200EBM369 ^CARTRIDGE, OIL","32.5","OI","","42","0","20","12","1","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93674","1","37","1","","0","01-0050","01-0050","closed","2","n","0","0","0","0","n","n","1579570667","2020","01","20","0","0","1675031468","","0","9709-0007-35 ^CARTRIDGE, OIL use kl550-010","15.75","OI","","155","0","45","0","1.5","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93675","1","37","1","","0","01-0051","01-0051","open","1","n","0","0","0","0","n","n","1579570676","2020","01","20","0","0","1675016696","","0","use KL405-006 128598 ^CARTRIDGE, OIL","20.5","OI","","74","0","0","0","1.35","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93676","1","37","1","","0","01-0052","01-0052","open","1","n","0","0","0","0","n","n","1579570680","2020","01","20","0","0","1675050627","","0","use KL450-014 1613-6105-00 ^CARTRIDGE, OIL","11","OI","","736","0","0","0","1.5","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93677","1","37","1","","0","01-0053","01-0053","open","1","n","0","0","0","0","n","n","1579570683","2020","01","20","0","0","1674987107","","0","0050065 ^CARTRIDGE, OIL","10.75","OI","","426","1","181","151","1.25","0","0","0","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93678","1","37","1","","0","01-00531","01-00531","closed","2","n","0","0","0","0","n","n","1579570687","2020","01","20","0","0","1675014072","","0","use KV60-027 1613-7502-01 ^AIR/OIL SEPARATOR","84.5","AS","","25","0","0","0","5","0","0","0","25","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93679","1","37","1","","0","01-0054","01-0054","open","1","n","0","0","0","0","n","n","1579570691","2020","01","20","0","0","1675024705","","0","use KL185-040 02250168-084 ^ELEMENT, OIL","115.75","OI","","15","0","0","0","1.5","0","0","0","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
